"nome_arquivo","latitude","longitude"
"3RS0001",-32.9539,-53.1189
"3RS0002",-32.9444,-52.7733
"3RS0003",-32.4044,-52.5558
"3RS0004",-32.3494,-52.5397
"3RS0005",-32.2372,-53.0897
,-32.03,-52.0792
"3RS0007",-32.0286,-53.3978
"3RS0008",-32.0061,-52.6528
"3RS0009",-31.8797,-52.8103
"3RS0010",-31.8689,-54.1639
"3RS0011",-31.8656,-53.2744
"3RS0012",-31.7375,-53.0539
"3RS0013",-31.7333,-53.5881
"3RS0014",-31.6728,-52.1778
"3RS0015",-31.6694,-52.7728
"3RS0016",-31.5775,-53.3769
"3RS0017",-31.5739,-52.4631
"3RS0018",-31.5339,-54.2947
,-31.4375,-54.7117
"3RS0020",-31.4308,-53.1078
"3RS0021",-31.4044,-52.6733
"3RS0022",-31.3675,-51.9867
"3RS0023",-31.3142,-53.4994
"3RS0024",-31.29,-51.0956
"3RS0025",-31.2839,-52.0831
"3RS0026",-31.2753,-55.0372
"3RS0027",-31.2269,-53.9014
"3RS0028",-31.1342,-53.0539
"3RS0029",-31.1303,-51.7886
"3RS0030",-31.0283,-54.1789
"3RS0031",-31.0006,-52.0492
"3RS0032",-30.9781,-54.6758
"3RS0033",-30.9689,-53.965
,-30.9611,-53.4886
"3RS0035",-30.9342,-52.9428
"3RS0036",-30.9064,-52.4622
"3RS0037",-30.8753,-52.2558
"3RS0038",-30.8658,-51.7958
"3RS0039",-30.8175,-53.9014
"3RS0040",-30.7917,-55.1792
"3RS0041",-30.7744,-54.2247
"3RS0042",-30.7719,-51.6603
"3RS0043",-30.7503,-55.9514
"3RS0044",-30.7031,-52.0647
"3RS0045",-30.6956,-55.9744
"3RS0046",-30.6683,-50.5408
"3RS0047",-30.6253,-52.84
"3RS0048",-30.5939,-51.7567
"3RS0049",-30.5256,-56.1722
"3RS0050",-30.5194,-53.4917
"3RS0051",-30.5164,-55.1267
"3RS0052",-30.5144,-54.7703
"3RS0053",-30.4872,-53.1183
"3RS0054",-30.4353,-53.7125
"3RS0055",-30.4189,-52.0736
"3RS0056",-30.3575,-54.3181
"3RS0057",-30.295,-51.3144
"3RS0058",-30.2939,-55.9756
"3RS0059",-30.2514,-50.5058
"3RS0060",-30.2469,-54.9175
"3RS0061",-30.2325,-53.9933
"3RS0062",-30.2133,-57.5533
