Estacao,nome_arquivo,EDMs,cod.ANA,latitude,longitude,datafinal,datainicia,dias_com_d
1,3RS0001,ETP00001.EDM,3253003,-32.9539,-53.1189,1980,2014,12166
2,3RS0002,ETP00002.EDM,3252025,-32.9444,-52.7733,2000,2014,4900
3,3RS0003,ETP00003.EDM,3252008,-32.4044,-52.5558,1980,2014,11934
4,3RS0004,ETP00004.EDM,3252006,-32.3494,-52.5397,1980,2014,12359
5,3RS0005,ETP00005.EDM,3253001,-32.2372,-53.0897,1980,2014,12248
6,,ETP00006.EDM,3252024,-32.03,-52.0792,1985,2014,10376
7,3RS0007,ETP00007.EDM,3253004,-32.0286,-53.3978,1980,2014,12187
8,3RS0008,ETP00008.EDM,3252005,-32.0061,-52.6528,1980,2014,12293
9,3RS0009,ETP00009.EDM,3152013,-31.8797,-52.8103,1980,2014,11420
10,3RS0010,ETP00010.EDM,3154007,-31.8689,-54.1639,2000,2014,4971
11,3RS0011,ETP00011.EDM,3153022,-31.8656,-53.2744,2000,2014,4894
12,3RS0012,ETP00012.EDM,3153004,-31.7375,-53.0539,1980,2014,12402
13,3RS0013,ETP00013.EDM,3153007,-31.7333,-53.5881,1980,2014,11934
14,3RS0014,ETP00014.EDM,3152008,-31.6728,-52.1778,1980,2014,12209
15,3RS0015,ETP00015.EDM,3152005,-31.6694,-52.7728,1980,2014,12091
16,3RS0016,ETP00016.EDM,3153008,-31.5775,-53.3769,1980,2014,12241
17,3RS0017,ETP00017.EDM,3152016,-31.5739,-52.4631,1980,2014,12240
18,3RS0018,ETP00018.EDM,3154006,-31.5339,-54.2947,1998,2014,5662
19,,ETP00019.EDM,3154008,-31.4375,-54.7117,2000,2014,4907
20,3RS0020,ETP00020.EDM,3153021,-31.4308,-53.1078,1980,2014,11958
21,3RS0021,ETP00021.EDM,3152003,-31.4044,-52.6733,1980,2014,12438
22,3RS0022,ETP00022.EDM,3151003,-31.3675,-51.9867,1980,2014,12434
23,3RS0023,ETP00023.EDM,3153017,-31.3142,-53.4994,1980,2014,12150
24,3RS0024,ETP00024.EDM,3151004,-31.29,-51.0956,1992,2014,7668
25,3RS0025,ETP00025.EDM,3152002,-31.2839,-52.0831,1980,2014,12322
26,3RS0026,ETP00026.EDM,3155001,-31.2753,-55.0372,1980,2014,11822
27,3RS0027,ETP00027.EDM,3153003,-31.2269,-53.9014,1980,2012,11992
28,3RS0028,ETP00028.EDM,3153006,-31.1342,-53.0539,1980,2014,12388
29,3RS0029,ETP00029.EDM,3151002,-31.1303,-51.7886,1980,2014,12183
30,3RS0030,ETP00030.EDM,3154003,-31.0283,-54.1789,1980,2014,12354
31,3RS0031,ETP00031.EDM,3152011,-31.0006,-52.0492,1980,2014,12447
32,3RS0032,ETP00032.EDM,3054002,-30.9781,-54.6758,1980,2014,12496
33,3RS0033,ETP00033.EDM,3053023,-30.9689,-53.965,2000,2014,5016
34,,ETP00034.EDM,3053010,-30.9611,-53.4886,1980,2009,8271
35,3RS0035,ETP00035.EDM,3052010,-30.9342,-52.9428,1980,2012,12053
36,3RS0036,ETP00036.EDM,3052007,-30.9064,-52.4622,1980,2012,12053
37,3RS0037,ETP00037.EDM,3052009,-30.8753,-52.2558,1980,2012,12022
38,3RS0038,ETP00038.EDM,3051016,-30.8658,-51.7958,1980,2014,11661
39,3RS0039,ETP00039.EDM,3053007,-30.8175,-53.9014,1980,2012,12053
40,3RS0040,ETP00040.EDM,3055009,-30.7917,-55.1792,2000,2014,4679
41,3RS0041,ETP00041.EDM,3054019,-30.7744,-54.2247,1999,2014,5149
42,3RS0042,ETP00042.EDM,3051017,-30.7719,-51.6603,1980,2014,12342
43,3RS0043,ETP00043.EDM,3055011,-30.7503,-55.9514,2000,2014,4871
44,3RS0044,ETP00044.EDM,3052013,-30.7031,-52.0647,1999,2014,5140
45,3RS0045,ETP00045.EDM,3055003,-30.6956,-55.9744,1980,2014,12312
46,3RS0046,ETP00046.EDM,3050007,-30.6683,-50.5408,1983,2014,11098
47,3RS0047,ETP00047.EDM,3052012,-30.6253,-52.84,1980,2014,12184
48,3RS0048,ETP00048.EDM,3051004,-30.5939,-51.7567,1980,2014,12334
49,3RS0049,ETP00049.EDM,3056007,-30.5256,-56.1722,1983,2014,10464
50,3RS0050,ETP00050.EDM,3053022,-30.5194,-53.4917,1986,2014,10135
51,3RS0051,ETP00051.EDM,3055005,-30.5164,-55.1267,1980,2014,12182
52,3RS0052,ETP00052.EDM,3054016,-30.5144,-54.7703,1980,2014,12382
53,3RS0053,ETP00053.EDM,3053018,-30.4872,-53.1183,1983,2014,10992
54,3RS0054,ETP00054.EDM,3053017,-30.4353,-53.7125,1981,2014,11876
55,3RS0055,ETP00055.EDM,3052011,-30.4189,-52.0736,1980,2014,12386
56,3RS0056,ETP00056.EDM,3054018,-30.3575,-54.3181,1985,2014,10371
57,3RS0057,ETP00057.EDM,3051023,-30.295,-51.3144,1980,2014,12367
58,3RS0058,ETP00058.EDM,3055008,-30.2939,-55.9756,1988,2014,7860
